"objectid","id_no","binomial","presence","origin","seasonal","compiler","yrcompiled","citation","subspecies","subpop","event_year","source","basisofrec","catalog_no","dist_comm","island","tax_comm","legend","kingdom","phylum","class","order_","family","genus","category","latitude","longitude"
463072,84379236,"Aciagrion bapepe",1,1,1,"Odonata Database of Africa",2010,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,2010,"","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",2.013,22.782
463073,84379236,"Aciagrion bapepe",1,1,1,"Odonata Database of Africa",2010,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,2010,"","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",2.038,22.826
463074,84379236,"Aciagrion bapepe",1,1,1,"Odonata Database of Africa",2010,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,2010,"","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","LC",2.04,22.788
