"objectid","id_no","binomial","presence","origin","seasonal","compiler","yrcompiled","citation","subspecies","subpop","event_year","source","basisofrec","catalog_no","dist_comm","island","tax_comm","legend","kingdom","phylum","class","order_","family","genus","category","latitude","longitude"
484820,168015,"Aciagrion zambiense",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,1963,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","DD",-11.203,24.043
484821,168015,"Aciagrion zambiense",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,1964,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","DD",-11.362,24.319
484822,168015,"Aciagrion zambiense",1,1,1,"Odonata Database of Africa",NA,"Clausnitzer, V., K.-D.B. Dijkstra, R. Koch, J.-P. Boudot, W.R.T. Darwall, J. Kipping, B. Samraoui, M.J. Samways, J.P. Simaika, F. Suhling","",NA,1965,"http://data.freshwaterbiodiversity.eu/ipt/resource.do?r=bf_cf21","",NA,"","","","Extant (resident)","ANIMALIA","ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","Aciagrion","DD",-11.01515,23.58426
