"Species","Density","Source"
"Felis bieti",0.106,"Santini et al. (2022, GEB)"
"Felis chaus",0.201,"Santini et al. (2022, GEB)"
"Felis manul",0.231,"Santini et al. (2022, GEB)"
"Felis margarita",0.265,"Santini et al. (2022, GEB)"
"Felis nigripes",0.577,"Santini et al. (2022, GEB)"
"Felis silvestris",0.058,"Santini et al. (2022, GEB)"
"Leopardus colocolo",0.107,"Santini et al. (2022, GEB)"
"Leopardus geoffroyi",0.357,"Santini et al. (2022, GEB)"
"Leopardus guigna",0.087,"Santini et al. (2022, GEB)"
"Leopardus jacobitus",0.088,"Santini et al. (2022, GEB)"
"Leopardus pardalis",0.11,"Santini et al. (2022, GEB)"
"Leopardus tigrinus",0.148,"Santini et al. (2022, GEB)"
"Leopardus wiedii",0.296,"Santini et al. (2022, GEB)"
"Leptailurus serval",0.051,"Santini et al. (2022, GEB)"
"Lynx canadensis",0.08,"Santini et al. (2022, GEB)"
"Lynx lynx",0.01,"Santini et al. (2022, GEB)"
"Lynx pardinus",0.135,"Santini et al. (2022, GEB)"
"Lynx rufus",0.2,"Santini et al. (2022, GEB)"
"Neofelis nebulosa",0.027,"Santini et al. (2022, GEB)"
"Panthera leo",0.075,"Santini et al. (2022, GEB)"
"Panthera onca",0.038,"Santini et al. (2022, GEB)"
"Panthera pardus",0.041,"Santini et al. (2022, GEB)"
"Panthera tigris",0.024,"Santini et al. (2022, GEB)"
"Pardofelis marmorata",0.059,"Santini et al. (2022, GEB)"
"Prionailurus bengalensis",0.123,"Santini et al. (2022, GEB)"
"Prionailurus planiceps",0.104,"Santini et al. (2022, GEB)"
"Prionailurus rubiginosus",0.17,"Santini et al. (2022, GEB)"
"Prionailurus viverrinus",0.76,"Santini et al. (2022, GEB)"
"Profelis aurata",0.072,"Santini et al. (2022, GEB)"
"Puma concolor",0.061,"Santini et al. (2022, GEB)"
"Puma yagouaroundi",0.33,"Santini et al. (2022, GEB)"
"Uncia uncia",0.052,"Santini et al. (2022, GEB)"
"Atilax paludinosus",1.065,"Santini et al. (2022, GEB)"
"Bdeogale crassicauda",3.005,"Santini et al. (2022, GEB)"
"Bdeogale jacksoni",1.787,"Santini et al. (2022, GEB)"
"Bdeogale nigripes",1.525,"Santini et al. (2022, GEB)"
"Crossarchus alexandri",2.951,"Santini et al. (2022, GEB)"
"Crossarchus ansorgei",6.021,"Santini et al. (2022, GEB)"
"Crossarchus obscurus",1.975,"Santini et al. (2022, GEB)"
"Crossarchus platycephalus",2.653,"Santini et al. (2022, GEB)"
"Cynictis penicillata",8.061,"Santini et al. (2022, GEB)"
"Dologale dybowskii",8.739,"Santini et al. (2022, GEB)"
"Galerella flavescens",5.924,"Santini et al. (2022, GEB)"
"Galerella ochracea",7.736,"Santini et al. (2022, GEB)"
"Galerella pulverulenta",10.649,"Santini et al. (2022, GEB)"
"Galerella sanguinea",7.833,"Santini et al. (2022, GEB)"
"Helogale hirtula",17.115,"Santini et al. (2022, GEB)"
"Helogale parvula",16.22,"Santini et al. (2022, GEB)"
"Herpestes brachyurus",2.179,"Santini et al. (2022, GEB)"
"Herpestes edwardsi",3.053,"Santini et al. (2022, GEB)"
"Herpestes fuscus",2.367,"Santini et al. (2022, GEB)"
"Herpestes ichneumon",0.813,"Santini et al. (2022, GEB)"
"Herpestes javanicus",6.372,"Santini et al. (2022, GEB)"
"Herpestes naso",3.804,"Santini et al. (2022, GEB)"
"Herpestes semitorquatus",2.114,"Santini et al. (2022, GEB)"
"Herpestes smithii",2.318,"Santini et al. (2022, GEB)"
"Herpestes urva",2.47,"Santini et al. (2022, GEB)"
"Herpestes vitticollis",1.096,"Santini et al. (2022, GEB)"
"Ichneumia albicauda",2.176,"Santini et al. (2022, GEB)"
"Liberiictis kuhni",1.776,"Santini et al. (2022, GEB)"
"Mungos gambianus",2.969,"Santini et al. (2022, GEB)"
"Mungos mungo",1.906,"Santini et al. (2022, GEB)"
"Paracynictis selousi",2.814,"Santini et al. (2022, GEB)"
"Rhynchogale melleri",2.1,"Santini et al. (2022, GEB)"
"Suricata suricatta",9.895,"Santini et al. (2022, GEB)"
"Crocuta crocuta",0.208,"Santini et al. (2022, GEB)"
"Hyaena brunnea",0.044,"Santini et al. (2022, GEB)"
"Hyaena hyaena",0.211,"Santini et al. (2022, GEB)"
"Proteles cristata",0.191,"Santini et al. (2022, GEB)"
"Conepatus chinga",2.76,"Santini et al. (2022, GEB)"
"Conepatus humboldtii",16.79,"Santini et al. (2022, GEB)"
"Conepatus leuconotus",2.149,"Santini et al. (2022, GEB)"
"Conepatus semistriatus",5.101,"Santini et al. (2022, GEB)"
"Mephitis macroura",14.981,"Santini et al. (2022, GEB)"
"Mephitis mephitis",0.988,"Santini et al. (2022, GEB)"
"Mydaus javanensis",4.442,"Santini et al. (2022, GEB)"
"Mydaus marchei",7.082,"Santini et al. (2022, GEB)"
"Spilogale angustifrons",10.18,"Santini et al. (2022, GEB)"
"Spilogale gracilis",13.567,"Santini et al. (2022, GEB)"
"Spilogale putorius",18.175,"Santini et al. (2022, GEB)"
"Spilogale pygmaea",12.432,"Santini et al. (2022, GEB)"
"Aonyx capensis",0.458,"Santini et al. (2022, GEB)"
"Aonyx cinerea",1.662,"Santini et al. (2022, GEB)"
"Arctonyx collaris",1.198,"Santini et al. (2022, GEB)"
"Eira barbara",1.065,"Santini et al. (2022, GEB)"
"Galictis cuja",4.732,"Santini et al. (2022, GEB)"
"Galictis vittata",0.818,"Santini et al. (2022, GEB)"
"Gulo gulo",0.028,"Santini et al. (2022, GEB)"
"Hydrictis maculicollis",0.456,"Santini et al. (2022, GEB)"
"Ictonyx libyca",1.59,"Santini et al. (2022, GEB)"
"Ictonyx striatus",2.702,"Santini et al. (2022, GEB)"
"Lontra canadensis",0.084,"Santini et al. (2022, GEB)"
"Lontra felina",0.303,"Santini et al. (2022, GEB)"
"Lontra longicaudis",0.309,"Santini et al. (2022, GEB)"
"Lontra provocax",0.682,"Santini et al. (2022, GEB)"
"Lutra lutra",0.309,"Santini et al. (2022, GEB)"
"Lutra sumatrana",0.674,"Santini et al. (2022, GEB)"
"Lutrogale perspicillata",0.48,"Santini et al. (2022, GEB)"
"Lyncodon patagonicus",1.701,"Santini et al. (2022, GEB)"
"Martes americana",2.207,"Santini et al. (2022, GEB)"
"Martes flavigula",1.55,"Santini et al. (2022, GEB)"
"Martes foina",4.896,"Santini et al. (2022, GEB)"
"Martes gwatkinsii",2.956,"Santini et al. (2022, GEB)"
"Martes martes",0.78,"Santini et al. (2022, GEB)"
"Martes melampus",7.673,"Santini et al. (2022, GEB)"
"Martes pennanti",0.135,"Santini et al. (2022, GEB)"
"Martes zibellina",5.005,"Santini et al. (2022, GEB)"
"Meles anakuma",1.53,"Santini et al. (2022, GEB)"
"Meles leucurus",0.62,"Santini et al. (2022, GEB)"
"Meles meles",2.17,"Santini et al. (2022, GEB)"
"Mellivora capensis",0.411,"Santini et al. (2022, GEB)"
"Melogale everetti",4.796,"Santini et al. (2022, GEB)"
"Melogale moschata",8.537,"Santini et al. (2022, GEB)"
"Melogale orientalis",3.253,"Santini et al. (2022, GEB)"
"Melogale personata",3.585,"Santini et al. (2022, GEB)"
"Mustela africana",0.688,"Santini et al. (2022, GEB)"
"Mustela altaica",2.069,"Santini et al. (2022, GEB)"
