"Species","Density","Source"
"Margaretamys elegans",134.647,"Santini et al. (2022, GEB)"
"Margaretamys parvus",359.723,"Santini et al. (2022, GEB)"
"Mastacomys fuscus",173.169,"Santini et al. (2022, GEB)"
"Mastomys awashensis",260.26,"Santini et al. (2022, GEB)"
"Mastomys coucha",288.445,"Santini et al. (2022, GEB)"
"Mastomys erythroleucus",149.026,"Santini et al. (2022, GEB)"
"Mastomys huberti",148.386,"Santini et al. (2022, GEB)"
"Mastomys kollmannspergeri",131.785,"Santini et al. (2022, GEB)"
"Mastomys natalensis",1436.683,"Santini et al. (2022, GEB)"
"Mastomys pernanus",266.842,"Santini et al. (2022, GEB)"
"Mastomys shortridgei",226.035,"Santini et al. (2022, GEB)"
"Maxomys alticola",134.516,"Santini et al. (2022, GEB)"
"Maxomys baeodon",169.564,"Santini et al. (2022, GEB)"
"Maxomys bartelsii",116.641,"Santini et al. (2022, GEB)"
"Maxomys dollmani",120.691,"Santini et al. (2022, GEB)"
"Maxomys hellwaldii",68.974,"Santini et al. (2022, GEB)"
"Maxomys hylomyoides",189.192,"Santini et al. (2022, GEB)"
"Maxomys inas",122.7,"Santini et al. (2022, GEB)"
"Maxomys inflatus",79.323,"Santini et al. (2022, GEB)"
"Maxomys moi",76.506,"Santini et al. (2022, GEB)"
"Maxomys musschenbroekii",133.843,"Santini et al. (2022, GEB)"
"Maxomys ochraceiventer",124.684,"Santini et al. (2022, GEB)"
"Maxomys pagensis",102.098,"Santini et al. (2022, GEB)"
"Maxomys panglima",74.95,"Santini et al. (2022, GEB)"
"Maxomys rajah",91.266,"Santini et al. (2022, GEB)"
"Maxomys surifer",93.064,"Santini et al. (2022, GEB)"
"Maxomys wattsi",86.756,"Santini et al. (2022, GEB)"
"Maxomys whiteheadi",193.163,"Santini et al. (2022, GEB)"
"Melasmothrix naso",108.514,"Santini et al. (2022, GEB)"
"Melomys aerosus",194.882,"Santini et al. (2022, GEB)"
"Melomys arcium",337.45,"Santini et al. (2022, GEB)"
"Melomys bannisteri",266.577,"Santini et al. (2022, GEB)"
"Melomys bougainville",255.17,"Santini et al. (2022, GEB)"
"Melomys burtoni",312.035,"Santini et al. (2022, GEB)"
"Melomys capensis",245.4,"Santini et al. (2022, GEB)"
"Melomys caurinus",202.996,"Santini et al. (2022, GEB)"
"Melomys cervinipes",360.928,"Santini et al. (2022, GEB)"
"Melomys cooperae",209.664,"Santini et al. (2022, GEB)"
"Melomys dollmani",206.279,"Santini et al. (2022, GEB)"
"Melomys fraterculus",330.521,"Santini et al. (2022, GEB)"
"Melomys frigicola",273.287,"Santini et al. (2022, GEB)"
"Melomys fulgens",194.537,"Santini et al. (2022, GEB)"
"Melomys howi",295.154,"Santini et al. (2022, GEB)"
"Melomys leucogaster",176.16,"Santini et al. (2022, GEB)"
"Melomys lutillus",219.603,"Santini et al. (2022, GEB)"
"Melomys matambuai",237.163,"Santini et al. (2022, GEB)"
"Melomys obiensis",318.108,"Santini et al. (2022, GEB)"
"Melomys paveli",212.534,"Santini et al. (2022, GEB)"
"Melomys rubicola",187.523,"Santini et al. (2022, GEB)"
"Melomys rufescens",243.973,"Santini et al. (2022, GEB)"
"Melomys talaudium",286.992,"Santini et al. (2022, GEB)"
"Meriones arimalius",155.705,"Santini et al. (2022, GEB)"
"Meriones chengi",185.788,"Santini et al. (2022, GEB)"
"Meriones crassus",235.856,"Santini et al. (2022, GEB)"
"Meriones dahli",310.49,"Santini et al. (2022, GEB)"
"Meriones grandis",147.565,"Santini et al. (2022, GEB)"
"Meriones hurrianae",231.061,"Santini et al. (2022, GEB)"
"Meriones libycus",222.355,"Santini et al. (2022, GEB)"
"Meriones meridianus",284.042,"Santini et al. (2022, GEB)"
"Meriones persicus",199.209,"Santini et al. (2022, GEB)"
"Meriones rex",169.471,"Santini et al. (2022, GEB)"
"Meriones sacramenti",108.851,"Santini et al. (2022, GEB)"
"Meriones shawi",154.361,"Santini et al. (2022, GEB)"
"Meriones tamariscinus",195.583,"Santini et al. (2022, GEB)"
"Meriones tristrami",242.779,"Santini et al. (2022, GEB)"
"Meriones unguiculatus",736.437,"Santini et al. (2022, GEB)"
"Meriones vinogradovi",163.557,"Santini et al. (2022, GEB)"
"Meriones zarudnyi",238.292,"Santini et al. (2022, GEB)"
"Mesembriomys gouldii",19.93,"Santini et al. (2022, GEB)"
"Mesembriomys macrurus",44.119,"Santini et al. (2022, GEB)"
"Micaelamys granti",328.743,"Santini et al. (2022, GEB)"
"Micaelamys namaquensis",494.202,"Santini et al. (2022, GEB)"
"Microdillus peeli",490.912,"Santini et al. (2022, GEB)"
"Microhydromys musseri",111.479,"Santini et al. (2022, GEB)"
"Microhydromys richardsoni",157.966,"Santini et al. (2022, GEB)"
"Micromys minutus",894.049,"Santini et al. (2022, GEB)"
"Millardia gleadowi",154.927,"Santini et al. (2022, GEB)"
"Millardia kathleenae",108.684,"Santini et al. (2022, GEB)"
"Millardia kondana",224.803,"Santini et al. (2022, GEB)"
"Millardia meltada",96.623,"Santini et al. (2022, GEB)"
"Muriculus imberbis",750.631,"Santini et al. (2022, GEB)"
"Mus baoulei",857.362,"Santini et al. (2022, GEB)"
"Mus booduga",938.332,"Santini et al. (2022, GEB)"
"Mus bufo",1041.028,"Santini et al. (2022, GEB)"
"Mus callewaerti",826.551,"Santini et al. (2022, GEB)"
"Mus caroli",919.918,"Santini et al. (2022, GEB)"
"Mus cervicolor",652.495,"Santini et al. (2022, GEB)"
"Mus cookii",508.143,"Santini et al. (2022, GEB)"
"Mus crociduroides",371.032,"Santini et al. (2022, GEB)"
"Mus famulus",549.569,"Santini et al. (2022, GEB)"
"Mus fernandoni",618.851,"Santini et al. (2022, GEB)"
"Mus fragilicauda",780.586,"Santini et al. (2022, GEB)"
"Mus goundae",805.542,"Santini et al. (2022, GEB)"
"Mus haussa",713.56,"Santini et al. (2022, GEB)"
"Mus indutus",1465.023,"Santini et al. (2022, GEB)"
"Mus macedonicus",1084.121,"Santini et al. (2022, GEB)"
"Mus mahomet",1396.733,"Santini et al. (2022, GEB)"
"Mus mattheyi",813.865,"Santini et al. (2022, GEB)"
"Mus mayori",562.352,"Santini et al. (2022, GEB)"
"Mus minutoides",177.952,"Santini et al. (2022, GEB)"
"Mus musculoides",1147.231,"Santini et al. (2022, GEB)"
"Mus musculus",757.495,"Santini et al. (2022, GEB)"
"Mus neavei",1205.92,"Santini et al. (2022, GEB)"
"Mus oubanguii",714.198,"Santini et al. (2022, GEB)"
"Mus pahari",450.755,"Santini et al. (2022, GEB)"
"Mus phillipsi",1002.828,"Santini et al. (2022, GEB)"
"Mus platythrix",647.897,"Santini et al. (2022, GEB)"
"Mus saxicola",629.551,"Santini et al. (2022, GEB)"
"Mus setulosus",772.339,"Santini et al. (2022, GEB)"
"Mus setzeri",1341.3,"Santini et al. (2022, GEB)"
"Mus shortridgei",363.214,"Santini et al. (2022, GEB)"
"Mus sorella",755.079,"Santini et al. (2022, GEB)"
"Mus spicilegus",590.168,"Santini et al. (2022, GEB)"
"Mus spretus",1229.865,"Santini et al. (2022, GEB)"
"Mus tenellus",990.17,"Santini et al. (2022, GEB)"
"Mus terricolor",1103.547,"Santini et al. (2022, GEB)"
"Mus triton",155.685,"Santini et al. (2022, GEB)"
"Mus vulcani",525.233,"Santini et al. (2022, GEB)"
"Mylomys dybowskii",169.507,"Santini et al. (2022, GEB)"
"Mylomys rex",266.339,"Santini et al. (2022, GEB)"
"Myomyscus angolensis",177.694,"Santini et al. (2022, GEB)"
"Myomyscus brockmani",242.263,"Santini et al. (2022, GEB)"
"Myomyscus verreauxii",527.909,"Santini et al. (2022, GEB)"
"Myomyscus yemeni",146.329,"Santini et al. (2022, GEB)"
"Myotomys sloggetti",597.31,"Santini et al. (2022, GEB)"
"Myotomys unisulcatus",615.016,"Santini et al. (2022, GEB)"
"Nesokia bunnii",217.676,"Santini et al. (2022, GEB)"
"Nesokia indica",189.032,"Santini et al. (2022, GEB)"
"Nesoromys ceramicus",141.057,"Santini et al. (2022, GEB)"
"Nilopegamys plumbeus",246.028,"Santini et al. (2022, GEB)"
"Niviventer andersoni",150.34,"Santini et al. (2022, GEB)"
"Niviventer brahma",143.463,"Santini et al. (2022, GEB)"
"Niviventer cameroni",193.652,"Santini et al. (2022, GEB)"
"Niviventer confucianus",308.201,"Santini et al. (2022, GEB)"
"Niviventer coninga",262.506,"Santini et al. (2022, GEB)"
"Niviventer cremoriventer",243.877,"Santini et al. (2022, GEB)"
"Niviventer culturatus",260.917,"Santini et al. (2022, GEB)"
"Niviventer eha",361.984,"Santini et al. (2022, GEB)"
"Niviventer excelsior",205.882,"Santini et al. (2022, GEB)"
"Niviventer fraternus",176.361,"Santini et al. (2022, GEB)"
"Niviventer fulvescens",243.636,"Santini et al. (2022, GEB)"
"Niviventer hinpoon",371.017,"Santini et al. (2022, GEB)"
"Niviventer lepturus",199.367,"Santini et al. (2022, GEB)"
"Niviventer niviventer",191.931,"Santini et al. (2022, GEB)"
"Niviventer rapit",200.213,"Santini et al. (2022, GEB)"
"Niviventer tenaster",151.103,"Santini et al. (2022, GEB)"
"Notomys alexis",883.312,"Santini et al. (2022, GEB)"
"Notomys aquilo",606.696,"Santini et al. (2022, GEB)"
"Notomys cervinus",826.247,"Santini et al. (2022, GEB)"
"Notomys fuscus",937.354,"Santini et al. (2022, GEB)"
"Notomys mitchellii",903.187,"Santini et al. (2022, GEB)"
"Oenomys hypoxanthus",105.372,"Santini et al. (2022, GEB)"
"Oenomys ornatus",97.196,"Santini et al. (2022, GEB)"
"Otomys anchietae",333.613,"Santini et al. (2022, GEB)"
"Otomys angoniensis",80.756,"Santini et al. (2022, GEB)"
"Otomys barbouri",361.337,"Santini et al. (2022, GEB)"
"Otomys burtoni",270.278,"Santini et al. (2022, GEB)"
"Otomys cuanzensis",237.781,"Santini et al. (2022, GEB)"
"Otomys dartmouthi",231.505,"Santini et al. (2022, GEB)"
"Otomys denti",319.974,"Santini et al. (2022, GEB)"
"Otomys irroratus",596.41,"Santini et al. (2022, GEB)"
"Otomys lacustris",243.885,"Santini et al. (2022, GEB)"
"Otomys laminatus",388.336,"Santini et al. (2022, GEB)"
"Otomys occidentalis",259.729,"Santini et al. (2022, GEB)"
"Otomys tropicalis",393.397,"Santini et al. (2022, GEB)"
"Otomys typus",513.22,"Santini et al. (2022, GEB)"
"Pachyuromys duprasi",84.006,"Santini et al. (2022, GEB)"
"Palawanomys furvus",279.278,"Santini et al. (2022, GEB)"
"Papagomys armandvillei",123.292,"Santini et al. (2022, GEB)"
"Parahydromys asper",8.362,"Santini et al. (2022, GEB)"
"Paraleptomys rufilatus",281.982,"Santini et al. (2022, GEB)"
"Paraleptomys wilhelmina",490.66,"Santini et al. (2022, GEB)"
"Paramelomys gressitti",213.802,"Santini et al. (2022, GEB)"
"Paramelomys levipes",208.664,"Santini et al. (2022, GEB)"
"Paramelomys lorentzii",153.733,"Santini et al. (2022, GEB)"
"Paramelomys mollis",222.29,"Santini et al. (2022, GEB)"
"Paramelomys moncktoni",212.996,"Santini et al. (2022, GEB)"
"Paramelomys naso",263.601,"Santini et al. (2022, GEB)"
"Paramelomys platyops",222.35,"Santini et al. (2022, GEB)"
"Paramelomys rubex",355.476,"Santini et al. (2022, GEB)"
"Paramelomys steini",240.83,"Santini et al. (2022, GEB)"
"Parotomys brantsii",327.9,"Santini et al. (2022, GEB)"
"Parotomys littledalei",311.52,"Santini et al. (2022, GEB)"
"Paruromys dominator",83.404,"Santini et al. (2022, GEB)"
"Paulamys naso",63.865,"Santini et al. (2022, GEB)"
"Pelomys campanae",244.006,"Santini et al. (2022, GEB)"
"Pelomys fallax",164.269,"Santini et al. (2022, GEB)"
"Pelomys hopkinsi",309.124,"Santini et al. (2022, GEB)"
"Pelomys isseli",463.059,"Santini et al. (2022, GEB)"
"Pelomys minor",315.818,"Santini et al. (2022, GEB)"
"Phloeomys cumingi",17.182,"Santini et al. (2022, GEB)"
"Phloeomys pallidus",15.281,"Santini et al. (2022, GEB)"
"Pithecheir melanurus",140.207,"Santini et al. (2022, GEB)"
"Pithecheir parvus",121.817,"Santini et al. (2022, GEB)"
"Pithecheirops otion",251.864,"Santini et al. (2022, GEB)"
"Pogonomelomys mayeri",166.22,"Santini et al. (2022, GEB)"
"Pogonomys championi",289.328,"Santini et al. (2022, GEB)"
"Pogonomys fergussoniensis",314.194,"Santini et al. (2022, GEB)"
"Pogonomys loriae",175.105,"Santini et al. (2022, GEB)"
"Pogonomys macrourus",268.297,"Santini et al. (2022, GEB)"
"Pogonomys sylvestris",298.779,"Santini et al. (2022, GEB)"
"Praomys daltoni",139.834,"Santini et al. (2022, GEB)"
"Praomys degraaffi",377.298,"Santini et al. (2022, GEB)"
"Praomys delectorum",261.974,"Santini et al. (2022, GEB)"
"Praomys derooi",167.339,"Santini et al. (2022, GEB)"
"Praomys hartwigi",235.673,"Santini et al. (2022, GEB)"
"Praomys jacksoni",226.884,"Santini et al. (2022, GEB)"
"Praomys lukolelae",221.755,"Santini et al. (2022, GEB)"
"Praomys minor",237.108,"Santini et al. (2022, GEB)"
"Praomys misonnei",203.151,"Santini et al. (2022, GEB)"
"Praomys morio",301.587,"Santini et al. (2022, GEB)"
"Praomys mutoni",206.8,"Santini et al. (2022, GEB)"
"Praomys obscurus",256.27,"Santini et al. (2022, GEB)"
"Praomys petteri",246.31,"Santini et al. (2022, GEB)"
"Praomys rostratus",222.771,"Santini et al. (2022, GEB)"
"Praomys tullbergi",265.574,"Santini et al. (2022, GEB)"
"Praomys verschureni",226.542,"Santini et al. (2022, GEB)"
"Protochromys fellowsi",224.196,"Santini et al. (2022, GEB)"
"Psammomys obesus",184.129,"Santini et al. (2022, GEB)"
"Psammomys vexillaris",266.592,"Santini et al. (2022, GEB)"
"Pseudohydromys ellermani",196.215,"Santini et al. (2022, GEB)"
"Pseudohydromys fuscus",223.945,"Santini et al. (2022, GEB)"
"Pseudohydromys murinus",241.072,"Santini et al. (2022, GEB)"
"Pseudohydromys occidentalis",191.977,"Santini et al. (2022, GEB)"
"Pseudomys albocinereus",278.601,"Santini et al. (2022, GEB)"
"Pseudomys apodemoides",1004.937,"Santini et al. (2022, GEB)"
"Pseudomys australis",343.856,"Santini et al. (2022, GEB)"
"Pseudomys bolami",1081.356,"Santini et al. (2022, GEB)"
"Pseudomys calabyi",478.462,"Santini et al. (2022, GEB)"
"Pseudomys chapmani",772.039,"Santini et al. (2022, GEB)"
"Pseudomys delicatulus",743.114,"Santini et al. (2022, GEB)"
"Pseudomys desertor",600.939,"Santini et al. (2022, GEB)"
"Pseudomys fieldi",306.413,"Santini et al. (2022, GEB)"
"Pseudomys fumeus",284.693,"Santini et al. (2022, GEB)"
"Pseudomys gracilicaudatus",268.284,"Santini et al. (2022, GEB)"
"Pseudomys hermannsburgensis",996.828,"Santini et al. (2022, GEB)"
"Pseudomys higginsi",283.094,"Santini et al. (2022, GEB)"
"Pseudomys johnsoni",717.327,"Santini et al. (2022, GEB)"
"Pseudomys nanus",331.891,"Santini et al. (2022, GEB)"
"Pseudomys novaehollandiae",374.856,"Santini et al. (2022, GEB)"
"Pseudomys occidentalis",593.597,"Santini et al. (2022, GEB)"
"Pseudomys oralis",172.652,"Santini et al. (2022, GEB)"
"Pseudomys patrius",832.197,"Santini et al. (2022, GEB)"
"Pseudomys pilligaensis",1459.785,"Santini et al. (2022, GEB)"
"Pseudomys shortridgei",353.636,"Santini et al. (2022, GEB)"
"Rattus andamanensis",72.414,"Santini et al. (2022, GEB)"
"Rattus annandalei",61.097,"Santini et al. (2022, GEB)"
"Rattus argentiventer",79.348,"Santini et al. (2022, GEB)"
"Rattus arrogans",72.988,"Santini et al. (2022, GEB)"
"Rattus baluensis",108.075,"Santini et al. (2022, GEB)"
"Rattus blangorum",64.731,"Santini et al. (2022, GEB)"
"Rattus bontanus",53.523,"Santini et al. (2022, GEB)"
"Rattus burrus",107.191,"Santini et al. (2022, GEB)"
"Rattus colletti",143.34,"Santini et al. (2022, GEB)"
"Rattus elaphinus",81.732,"Santini et al. (2022, GEB)"
"Rattus everetti",49.901,"Santini et al. (2022, GEB)"
"Rattus exulans",173.253,"Santini et al. (2022, GEB)"
"Rattus feliceus",33.059,"Santini et al. (2022, GEB)"
"Rattus fuscipes",259.828,"Santini et al. (2022, GEB)"
"Rattus giluwensis",58.448,"Santini et al. (2022, GEB)"
"Rattus hainaldi",57.118,"Santini et al. (2022, GEB)"
"Rattus hoffmanni",68.664,"Santini et al. (2022, GEB)"
"Rattus hoogerwerfi",59.806,"Santini et al. (2022, GEB)"
"Rattus jobiensis",50.132,"Santini et al. (2022, GEB)"
"Rattus koopmani",79.484,"Santini et al. (2022, GEB)"
"Rattus korinchi",78.656,"Santini et al. (2022, GEB)"
"Rattus leucopus",53.017,"Santini et al. (2022, GEB)"
"Rattus losea",98.517,"Santini et al. (2022, GEB)"
"Rattus lugens",71.813,"Santini et al. (2022, GEB)"
"Rattus lutreolus",140.819,"Santini et al. (2022, GEB)"
"Rattus marmosurus",49.473,"Santini et al. (2022, GEB)"
"Rattus mindorensis",86.896,"Santini et al. (2022, GEB)"
"Rattus mollicomulus",77.062,"Santini et al. (2022, GEB)"
"Rattus montanus",79.676,"Santini et al. (2022, GEB)"
"Rattus mordax",44.437,"Santini et al. (2022, GEB)"
"Rattus morotaiensis",76.885,"Santini et al. (2022, GEB)"
"Rattus niobe",183.683,"Santini et al. (2022, GEB)"
"Rattus nitidus",91.67,"Santini et al. (2022, GEB)"
"Rattus norvegicus",58.373,"Santini et al. (2022, GEB)"
"Rattus novaeguineae",64.755,"Santini et al. (2022, GEB)"
"Rattus omichlodes",138.002,"Santini et al. (2022, GEB)"
"Rattus osgoodi",101.943,"Santini et al. (2022, GEB)"
"Rattus palmarum",40.597,"Santini et al. (2022, GEB)"
"Rattus pelurus",72.416,"Santini et al. (2022, GEB)"
"Rattus pococki",72.988,"Santini et al. (2022, GEB)"
"Rattus praetor",49.538,"Santini et al. (2022, GEB)"
"Rattus pyctoris",84.939,"Santini et al. (2022, GEB)"
"Rattus ranjiniae",83.391,"Santini et al. (2022, GEB)"
"Rattus rattus",164.981,"Santini et al. (2022, GEB)"
"Rattus richardsoni",174.99,"Santini et al. (2022, GEB)"
"Rattus salocco",67.149,"Santini et al. (2022, GEB)"
"Rattus satarae",77.469,"Santini et al. (2022, GEB)"
"Rattus simalurensis",93.062,"Santini et al. (2022, GEB)"
"Rattus sordidus",64.211,"Santini et al. (2022, GEB)"
"Rattus steini",64.32,"Santini et al. (2022, GEB)"
"Rattus stoicus",38.003,"Santini et al. (2022, GEB)"
"Rattus tanezumi",86.105,"Santini et al. (2022, GEB)"
"Rattus tawitawiensis",128.482,"Santini et al. (2022, GEB)"
"Rattus timorensis",55.996,"Santini et al. (2022, GEB)"
"Rattus tiomanicus",80.152,"Santini et al. (2022, GEB)"
"Rattus tunneyi",88.679,"Santini et al. (2022, GEB)"
"Rattus vandeuseni",131.924,"Santini et al. (2022, GEB)"
"Rattus verecundus",98.765,"Santini et al. (2022, GEB)"
"Rattus villosissimus",105.305,"Santini et al. (2022, GEB)"
"Rattus xanthurus",37.531,"Santini et al. (2022, GEB)"
"Rhabdomys pumilio",753.389,"Santini et al. (2022, GEB)"
"Rhombomys opimus",191.627,"Santini et al. (2022, GEB)"
"Rhynchomys isarogensis",35.371,"Santini et al. (2022, GEB)"
"Rhynchomys soricoides",21.19,"Santini et al. (2022, GEB)"
"Sekeetamys calurus",305.861,"Santini et al. (2022, GEB)"
"Solomys ponceleti",27.885,"Santini et al. (2022, GEB)"
"Solomys salamonis",56.789,"Santini et al. (2022, GEB)"
"Solomys salebrosus",63.863,"Santini et al. (2022, GEB)"
"Solomys sapientis",52.013,"Santini et al. (2022, GEB)"
"Sommeromys macrorhinos",229.101,"Santini et al. (2022, GEB)"
"Srilankamys ohiensis",247.566,"Santini et al. (2022, GEB)"
"Stenocephalemys albipes",118.471,"Santini et al. (2022, GEB)"
"Stenocephalemys albocaudata",73.984,"Santini et al. (2022, GEB)"
"Stenocephalemys griseicauda",684.594,"Santini et al. (2022, GEB)"
"Stenocephalemys ruppi",152.974,"Santini et al. (2022, GEB)"
"Stochomys longicaudatus",131.493,"Santini et al. (2022, GEB)"
"Sundamys infraluteus",23.051,"Santini et al. (2022, GEB)"
"Sundamys maxi",24.701,"Santini et al. (2022, GEB)"
"Sundamys muelleri",32.749,"Santini et al. (2022, GEB)"
"Taeromys arcuatus",50.441,"Santini et al. (2022, GEB)"
"Taeromys callitrichus",39.927,"Santini et al. (2022, GEB)"
"Taeromys celebensis",42.872,"Santini et al. (2022, GEB)"
"Taeromys hamatus",120.782,"Santini et al. (2022, GEB)"
"Taeromys microbullatus",52.897,"Santini et al. (2022, GEB)"
"Taeromys punicans",75.152,"Santini et al. (2022, GEB)"
"Taeromys taerae",48.713,"Santini et al. (2022, GEB)"
"Tarsomys apoensis",49.683,"Santini et al. (2022, GEB)"
"Tarsomys echinatus",41.129,"Santini et al. (2022, GEB)"
"Tateomys macrocercus",59.708,"Santini et al. (2022, GEB)"
"Tateomys rhinogradoides",37.419,"Santini et al. (2022, GEB)"
"Tatera indica",76.586,"Santini et al. (2022, GEB)"
"Taterillus arenarius",69.826,"Santini et al. (2022, GEB)"
"Taterillus congicus",86.814,"Santini et al. (2022, GEB)"
"Taterillus emini",102.487,"Santini et al. (2022, GEB)"
"Taterillus gracilis",89.354,"Santini et al. (2022, GEB)"
"Taterillus lacustris",82.677,"Santini et al. (2022, GEB)"
"Taterillus petteri",71.267,"Santini et al. (2022, GEB)"
"Taterillus pygargus",73.014,"Santini et al. (2022, GEB)"
"Taterillus tranieri",69.22,"Santini et al. (2022, GEB)"
"Thallomys loringi",761.232,"Santini et al. (2022, GEB)"
"Thallomys nigricauda",395.384,"Santini et al. (2022, GEB)"
"Thallomys paedulcus",220.928,"Santini et al. (2022, GEB)"
"Thallomys shortridgei",751.062,"Santini et al. (2022, GEB)"
"Thamnomys kempi",172.821,"Santini et al. (2022, GEB)"
"Thamnomys venustus",156.196,"Santini et al. (2022, GEB)"
"Tokudaia muenninki",230.011,"Santini et al. (2022, GEB)"
"Tokudaia osimensis",136.553,"Santini et al. (2022, GEB)"
"Tryphomys adustus",146.129,"Santini et al. (2022, GEB)"
"Uranomys ruddi",58.266,"Santini et al. (2022, GEB)"
"Uromys anak",54.94,"Santini et al. (2022, GEB)"
"Uromys boeadii",112.276,"Santini et al. (2022, GEB)"
"Uromys caudimaculatus",58.17,"Santini et al. (2022, GEB)"
"Uromys emmae",99.419,"Santini et al. (2022, GEB)"
"Uromys hadrourus",159.029,"Santini et al. (2022, GEB)"
"Uromys imperator",34.288,"Santini et al. (2022, GEB)"
"Uromys neobritannicus",46.203,"Santini et al. (2022, GEB)"
"Uromys porculus",61.908,"Santini et al. (2022, GEB)"
"Uromys rex",74.803,"Santini et al. (2022, GEB)"
"Uromys siebersi",61.662,"Santini et al. (2022, GEB)"
"Vandeleuria nilagirica",525.624,"Santini et al. (2022, GEB)"
"Vandeleuria nolthenii",290.911,"Santini et al. (2022, GEB)"
"Vandeleuria oleracea",1132.043,"Santini et al. (2022, GEB)"
"Vernaya fulva",521.928,"Santini et al. (2022, GEB)"
"Xenuromys barbatus",15.017,"Santini et al. (2022, GEB)"
"Xeromys myoides",119.594,"Santini et al. (2022, GEB)"
"Zelotomys hildegardeae",46.216,"Santini et al. (2022, GEB)"
"Zelotomys woosnami",69.615,"Santini et al. (2022, GEB)"
"Zyzomys argurus",314.783,"Santini et al. (2022, GEB)"
"Zyzomys maini",153.409,"Santini et al. (2022, GEB)"
"Zyzomys pedunculatus",236.489,"Santini et al. (2022, GEB)"
"Zyzomys woodwardi",105.948,"Santini et al. (2022, GEB)"
"Myocastor coypus",14.871,"Santini et al. (2022, GEB)"
"Beamys hindei",172.941,"Santini et al. (2022, GEB)"
"Brachytarsomys albicauda",103.547,"Santini et al. (2022, GEB)"
"Brachytarsomys villosa",74.256,"Santini et al. (2022, GEB)"
"Brachyuromys betsileoensis",77.461,"Santini et al. (2022, GEB)"
"Brachyuromys ramirohitra",75.824,"Santini et al. (2022, GEB)"
"Cricetomys emini",4.257,"Santini et al. (2022, GEB)"
"Cricetomys gambianus",14.161,"Santini et al. (2022, GEB)"
"Delanymys brooksi",7.821,"Santini et al. (2022, GEB)"
"Dendromus insignis",322.495,"Santini et al. (2022, GEB)"
"Dendromus kahuziensis",242.841,"Santini et al. (2022, GEB)"
"Dendromus lovati",236.255,"Santini et al. (2022, GEB)"
"Dendromus melanotis",375.372,"Santini et al. (2022, GEB)"
"Dendromus mesomelas",347.048,"Santini et al. (2022, GEB)"
"Dendromus messorius",221.985,"Santini et al. (2022, GEB)"
"Dendromus mystacalis",385.554,"Santini et al. (2022, GEB)"
"Dendromus nyikae",160.24,"Santini et al. (2022, GEB)"
"Dendromus oreas",268.495,"Santini et al. (2022, GEB)"
"Dendromus vernayi",239.431,"Santini et al. (2022, GEB)"
"Dendroprionomys rousseloti",138.921,"Santini et al. (2022, GEB)"
"Eliurus antsingy",117.585,"Santini et al. (2022, GEB)"
"Eliurus ellermani",112.76,"Santini et al. (2022, GEB)"
"Eliurus grandidieri",104.328,"Santini et al. (2022, GEB)"
"Eliurus majori",91.203,"Santini et al. (2022, GEB)"
"Eliurus minor",193.924,"Santini et al. (2022, GEB)"
"Eliurus myoxinus",136.636,"Santini et al. (2022, GEB)"
"Eliurus penicillatus",107.342,"Santini et al. (2022, GEB)"
"Eliurus petteri",102.84,"Santini et al. (2022, GEB)"
"Eliurus tanala",95.947,"Santini et al. (2022, GEB)"
"Eliurus webbi",110.069,"Santini et al. (2022, GEB)"
"Gymnuromys roberti",88.22,"Santini et al. (2022, GEB)"
"Hypogeomys antimena",42.993,"Santini et al. (2022, GEB)"
"Macrotarsomys bastardi",899.757,"Santini et al. (2022, GEB)"
"Macrotarsomys ingens",483.609,"Santini et al. (2022, GEB)"
"Malacothrix typica",1286.847,"Santini et al. (2022, GEB)"
"Megadendromus nikolausi",251.187,"Santini et al. (2022, GEB)"
"Monticolomys koopmani",224.893,"Santini et al. (2022, GEB)"
"Mystromys albicaudatus",220.824,"Santini et al. (2022, GEB)"
"Nesomys audeberti",74.258,"Santini et al. (2022, GEB)"
"Nesomys lambertoni",97.584,"Santini et al. (2022, GEB)"
"Nesomys rufus",80.582,"Santini et al. (2022, GEB)"
"Petromyscus barbouri",540.197,"Santini et al. (2022, GEB)"
"Petromyscus collinus",443.153,"Santini et al. (2022, GEB)"
"Petromyscus monticularis",279.065,"Santini et al. (2022, GEB)"
"Petromyscus shortridgei",208.528,"Santini et al. (2022, GEB)"
"Prionomys batesi",93.541,"Santini et al. (2022, GEB)"
"Saccostomus campestris",36.663,"Santini et al. (2022, GEB)"
"Saccostomus mearnsi",331.948,"Santini et al. (2022, GEB)"
"Steatomys bocagei",280.625,"Santini et al. (2022, GEB)"
"Steatomys caurinus",206.39,"Santini et al. (2022, GEB)"
"Steatomys cuppedius",264.096,"Santini et al. (2022, GEB)"
"Steatomys jacksoni",333.234,"Santini et al. (2022, GEB)"
"Steatomys krebsii",426.608,"Santini et al. (2022, GEB)"
"Steatomys opimus",183.999,"Santini et al. (2022, GEB)"
"Steatomys parvus",797.877,"Santini et al. (2022, GEB)"
"Steatomys pratensis",132.853,"Santini et al. (2022, GEB)"
"Voalavo gymnocaudus",127.857,"Santini et al. (2022, GEB)"
"Aconaemys fuscus",160.315,"Santini et al. (2022, GEB)"
"Aconaemys porteri",188.703,"Santini et al. (2022, GEB)"
"Aconaemys sagei",239.13,"Santini et al. (2022, GEB)"
"Octodon bridgesi",188.735,"Santini et al. (2022, GEB)"
